,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas,Difs_Anno_2019
0,IBEX 35®,"9.445,40","9.479,20","0,36","9.509,20","9.390,20",12/04/2019,15:26,"11,00"
1,IBEX 35® con Dividendos,"26.641,40","26.736,50","0,36","26.821,20","26.485,60",12/04/2019,15:26,"12,15"
2,IBEX MEDIUM CAP®,"13.669,90","13.678,60","0,06","13.707,20","13.605,70",12/04/2019,15:26,"5,27"
3,IBEX SMALL CAP®,"6.663,10","6.680,10","0,26","6.686,40","6.655,80",12/04/2019,15:26,"9,75"
4,IBEX 35® Bancos,"574,00","586,20","2,13","591,70","567,20",12/04/2019,15:26,"9,47"
5,IBEX 35® Energía,"1.314,60","1.304,90","-0,74","1.319,50","1.304,90",12/04/2019,15:26,"8,46"
6,IBEX 35® Construcción,"1.515,90","1.512,90","-0,20","1.517,80","1.510,70",12/04/2019,15:24,"22,27"
7,IBEX TOP Dividendo®,"2.962,10","2.977,20","0,51","2.983,10","2.943,30",12/04/2019,15:26,"8,90"
8,IBEX 35® con Dividendos Netos,"22.639,10","22.719,90","0,36","22.791,90","22.506,80",12/04/2019,15:26,"11,93"
9,IBEX 35® Inverso,"2.590,40","2.581,00","-0,36","2.605,50","2.572,90",12/04/2019,15:26,"-11,30"
10,IBEX 35® Doble Inverso,"387,40","384,60","-0,72","391,90","382,20",12/04/2019,15:26,"-21,61"
11,IBEX 35® Triple Inverso,"26,00","25,70","-1,15","26,50","25,50",12/04/2019,15:26,"-30,54"
12,IBEX 35® Inverso X5,"10,30","10,10","-1,94","10,60","10,00",12/04/2019,15:26,"-48,99"
13,IBEX 35® Inverso X10,"323,70","312,00","-3,61","342,60","301,80",12/04/2019,15:26,"-75,38"
14,IBEX 35® Doble Apalancado,"5.504,70","5.544,60","0,72","5.579,00","5.440,30",12/04/2019,15:26,"22,62"
15,IBEX 35® Doble Apalancado Bruto,"21.967,20","22.126,20","0,72","22.263,60","21.710,10",12/04/2019,15:26,"25,19"
16,IBEX 35® Doble Apalancado Neto,"18.830,10","18.966,40","0,72","19.084,20","18.609,90",12/04/2019,15:26,"24,70"
17,IBEX 35® Triple Apalancado,"1.129,10","1.141,40","1,09","1.152,00","1.109,30",12/04/2019,15:26,"34,87"
18,IBEX 35® Triple Apalancado Neto,"10.943,60","11.062,40","1,09","11.165,00","10.751,60",12/04/2019,15:26,"38,33"
19,IBEX 35® Apalancado Neto X5,"2.171,70","2.211,00","1,81","2.244,90","2.108,20",12/04/2019,15:26,"68,10"
20,IBEX 35® Apalancado Neto X10,"2.232,10","2.312,80","3,62","2.382,60","2.101,50",12/04/2019,15:26,"154,94"
21,IBEX 35® Capped Net Return,"22.701,10","22.782,10","0,36","22.854,30","22.568,40",12/04/2019,15:26,"11,93"
22,IBEX 35® Impacto Div,"104,70","116,10",- ,"116,10","116,10",11/04/2019,17:38,- 
23,IBEX 35® Volatilidad Objetivo 10% Estándar,"185,90","186,40","0,27","186,90","185,00",12/04/2019,15:26,"7,81"
24,IBEX 35® Volatilidad Objetivo 12% Estándar,"193,70","194,40","0,36","194,90","192,60",12/04/2019,15:26,"9,34"
25,IBEX 35® Volatilidad Objetivo 15% Estándar,"201,20","202,10","0,45","202,80","199,80",12/04/2019,15:26,"11,97"
26,IBEX 35® Volatilidad Objetivo 18% Estándar,"202,50","203,50","0,49","204,50","200,80",12/04/2019,15:26,"14,39"
27,IBEX 35® Volatilidad Objetivo 10% Financiado,"134,10","134,50","0,30","134,80","133,50",12/04/2019,15:26,"7,77"
28,IBEX 35® Volatilidad Objetivo 12% Financiado,"137,40","137,90","0,36","138,30","136,60",12/04/2019,15:26,"9,27"
29,IBEX 35® Volatilidad Objetivo 15% Financiado,"147,60","148,20","0,41","148,80","146,60",12/04/2019,15:26,"11,85"
30,IBEX 35® Volatilidad Objetivo 18% Financiado,"142,30","143,00","0,49","143,70","141,10",12/04/2019,15:26,"14,22"
31,VIBEX®,"13,24","12,43","-6,12","12,43","12,43",11/04/2019, ,"-41,17"
32,IBEX 35® Skew,"6,25","5,80","-7,20","5,80","5,80",11/04/2019, ,"5,07"
33,IBEX 35® BuyWrite,"1.656,14","1.663,46","0,44","1.663,46","1.663,46",11/04/2019, ,"11,77"
34,IBEX 35® PutWrite,"1.643,23","1.643,59","0,02","1.643,59","1.643,59",11/04/2019, ,"3,11"
35,IBEX 35® Protective Put,"578,72","582,60","0,67","582,60","582,60",11/04/2019, ,"8,27"
36,IBEX 35® Venta de Strangle,"2.176,52","2.172,02","-0,21","2.172,02","2.172,02",11/04/2019, ,"3,01"
37,IBEX TOP Dividendo® Rentabilidad,"7.075,80","7.111,70","0,51","7.125,90","7.030,90",12/04/2019,15:26,"10,00"
38,IBEX TOP Dividendo® Rentabilidad Neta,"5.992,40","6.022,80","0,51","6.034,80","5.954,40",12/04/2019,15:26,"9,79"
39,IBEX MEDIUM CAP® con Dividendos,"14.500,80","14.510,00","0,06","14.540,30","14.432,60",12/04/2019,15:26,"6,13"
40,IBEX MEDIUM CAP® con Dividendos Netos,"13.636,20","13.644,90","0,06","13.673,40","13.572,10",12/04/2019,15:26,"5,96"
41,IBEX SMALL CAP® con Dividendos,"9.449,10","9.473,30","0,26","9.482,20","9.438,90",12/04/2019,15:26,"9,93"
42,IBEX SMALL CAP® con Dividendos Netos,"9.165,70","9.189,20","0,26","9.197,80","9.155,80",12/04/2019,15:26,"9,89"
43,IBEX MAB® 15,"1.112,40","1.104,40","-0,72","1.116,60","1.094,00",12/04/2019,15:15,"21,68"
44,IBEX MAB® All Share,"1.004,40","998,10","-0,63","1.007,10","991,50",12/04/2019,15:15,"6,90"
45,FTSE4Good IBEX,"9.727,10","9.763,90","0,38","9.791,20","9.669,30",12/04/2019,15:26,"10,28"
46,FTSE4Good IBEX Total Return,"20.079,60","20.155,50","0,38","20.211,90","19.960,20",12/04/2019,15:26,"11,40"
47,FTSE4Good IBEX Net Return,"18.030,10","18.098,20","0,38","18.148,90","17.922,90",12/04/2019,15:26,"11,18"
48,FTSE Latibex All Share,"2.511,80","2.466,60","-1,80","2.500,60","2.466,60",12/04/2019,15:23,"13,23"
49,FTSE Latibex TOP,"5.238,10","5.203,90","-0,65","5.240,20","5.203,90",12/04/2019,15:10,"11,27"
50,FTSE Latibex BRASIL,"11.766,70","11.660,40","-0,90","11.766,70","11.660,40",12/04/2019,15:10,"13,30"
51,I.G.B.M.,"952,47","956,75","0,45","959,63","947,24",12/04/2019,15:26,"10,91"
52,I.G.B.M. Total,"3.710,75","3.732,44","0,58","3.732,44","3.732,44",11/04/2019,17:38,"11,68"
53,BCN GLOBAL 100 (Base 1986),"750,52","755,03","0,60","757,79","745,20",12/04/2019,15:26,"12,65"
54,BCN GLOBAL 100 (Base 1963),"1.928,96","1.940,56","0,60","1.947,65","1.915,31",12/04/2019,15:26,"12,65"
55,BCN MID 50,"22.669,82","22.712,59","0,19","22.737,81","22.631,11",12/04/2019,15:26,"12,35"
56,BCN PROFIT-30,"13.850,49","13.937,43","0,63","13.986,41","13.748,97",12/04/2019,15:26,"9,18"
57,BCN ROE-30,"21.730,38","21.766,56","0,17","21.809,57","21.619,81",12/04/2019,15:26,"10,79"
58,BCN PER-30,"22.863,00","23.004,21","0,62","23.072,74","22.700,84",12/04/2019,15:26,"9,15"
59,BCN INDEXCAT,"19.684,34","19.697,03","0,06","19.733,30","19.512,27",12/04/2019,15:26,"6,73"
60,BCN TOP EURO,"1.101,13","1.105,55","0,40","1.109,21","1.094,61",12/04/2019,15:26,"10,56"
61,BCN TOP 5,"1.121,89","1.130,07","0,73","1.135,12","1.113,85",12/04/2019,15:26,"13,01"
62,BILBAO,"1.474,24","1.478,27","0,27","1.481,69","1.465,39",12/04/2019,15:26,"11,14"
63,VALENCIA,"1.264,22","1.269,54","0,42","1.273,27","1.256,75",12/04/2019,15:26,"13,49"
64,Índice TEF Apalancado X3,"2.785,70","2.832,90","1,69","2.849,70","2.730,60",12/04/2019,15:26,"3,12"
65,Índice SAN Apalancado X3,"3.490,20","3.746,20","7,33","3.878,40","3.351,00",12/04/2019,15:26,"51,09"
66,Índice BBVA Apalancado X3,"1.934,80","2.056,90","6,31","2.099,10","1.886,10",12/04/2019,15:26,"69,03"
67,Índice ITX Apalancado X3,"4.952,40","4.818,20","-2,71","4.941,20","4.762,40",12/04/2019,15:26,"56,53"
68,Índice TEF Apalancado X5,"82,00","84,30","2,80","85,10","79,30",12/04/2019,15:26,"1,44"
69,Índice SAN Apalancado X5,"934,80","1.049,10","12,23","1.108,10","872,70",12/04/2019,15:26,"81,91"
70,Índice BBVA Apalancado X5,"101,60","112,30","10,53","116,00","97,30",12/04/2019,15:26,"120,63"
71,Índice ITX Apalancado X5,"1.270,40","1.213,00","-4,52","1.265,60","1.189,10",12/04/2019,15:26,"95,90"
72,Índice TEF Inverso X3,"3.220,50","3.164,30","-1,75","3.282,60","3.144,80",12/04/2019,15:26,"-14,42"
73,Índice SAN Inverso X3,"552,10","511,30","-7,39","573,80","490,40",12/04/2019,15:26,"-47,02"
74,Índice BBVA Inverso X3,"1.592,00","1.490,70","-6,36","1.631,20","1.456,00",12/04/2019,15:26,"-52,53"
75,Índice ITX Inverso X3,"2.699,10","2.770,80","2,66","2.801,30","2.703,80",12/04/2019,15:26,"-47,09"
76,Índice TEF Inverso X5,"547,80","531,90","-2,90","565,40","526,30",12/04/2019,15:26,"-25,96"
77,Índice SAN Inverso X5,"14,70","12,90","-12,24","15,70","12,00",12/04/2019,15:26,"-68,38"
78,Índice BBVA Inverso X5,"104,30","93,20","-10,64","108,60","89,50",12/04/2019,15:26,"-73,59"
79,Índice ITX Inverso X5,"475,60","496,70","4,44","505,60","477,00",12/04/2019,15:26,"-68,04"
